"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Prezenti","(Without client)","Website - add grants to dev","01:00:46","1.0127777777777778","0.0"
"Prezenti","(Without client)","Love Crypto Testing","01:01:04","1.0177777777777777","0.0"
"Prezenti","(Without client)","Review Sargo Review 2Heavens GDG Review","01:46:21","1.7725","0.0"
"Prezenti","(Without client)","Admin  Hurupay contract Questbook Pay Quidli Pay Ostrom Community Health Contract","02:30:00","2.5","0.0"
"Prezenti","(Without client)","- Isha meeting - Admin - Weekly Sync","03:14:19","3.238611111111111","0.0"
"Prezenti","(Without client)","Prezenti.  Admin, Weekly Sync","02:57:53","2.964722222222222","0.0"
"Prezenti","(Without client)","Love Crypto Review.","00:25:35","0.4263888888888889","0.0"
"Prezenti","(Without client)","My local token - close off","00:30:00","0.5","0.0"
"Prezenti","(Without client)","Sign contracts Fill in Nitin comments Add CHP and Hurupay to Questbook Initiate CHP first payment Added twitter and mirror post","05:30:00","5.5","0.0"
"Prezenti","(Without client)","Work on Forum post  Push website changes pay invoices","02:00:00","2.0","0.0"
